name,website,social,location,referrer,message,created_at
Kisei,https://tuansondesigns.com,Discord for now,"HN, Vietnam",https://uses.tech/,"Hello Jarema!
This website looks crazy great it made me so envious lmao haha. It felt a small fireplace in the midst of chaotic storm, alluring you with lullaby and cats to rest. I love how accessible it is and I'm also on a whole site revision to redesign my website to be more accessible and more personal

Cheers!",2026-05-17T07:39:00.000Z
Brennan,https://brennan.day,https://social.lol/@brennan,Canada,We're webring neighbours!,"Hello Jarema! So nice to meet you! You are right next to me on the a11y webring, and I absolutely LOVE your site. I think we have a lot in common in terms of design thinking :) cheers!",2026-05-14T06:00:21.000Z
Will,,,,,"Hi Jarema,
This website looks crazy good and the design is awesome. Visiting this website really feels personal and really brings out the personality that you put into the website. I rate this a 100/10. It feels like I'm visiting someone's house and they show me their personal *private* room (lol).

Also love when my cursor turns into a cat whenever I click onto this website. And the whole aesthetic, really Windows XP like.",2026-04-17T13:49:10.000Z
Tayro,,,,Pressed random website on the indieweb site,"Hey Jarema :)

I randomly stumbled across your blog surfing the web today and I gotta say the website looks **amazing**, this must have been some crazy work!

So I was just reading your blog about the software you use in 2026 and you expressed having trouble switching away from google photos. Me personally I use ente photos and really like it maybe you can give that a try. It's e2ee, open source and since they know that migrating is a pain they have made it a very simple and easy process. I have been using ente for about a year now and I love it. It even has cross platform shared albums which is a huge plus for me. Their website is: [https://ente.io](https://ente.io)

Also I tried contacting you over matrix and it didn't work so maybe check out if something is broken there

Hope this helps have a nice day :D",2026-03-30T08:57:01.000Z
Adim : d,https://jarema.me,,🦅🇵🇱🔥POLSKAAA 🔥🇵🇱🦅,Jarema discord profile connections : D,hewwo,2026-03-03T12:02:14.000Z
Grizz,https://grizz.atwebpages.com/,,USA,Hotline webring,"Hi Jarema, I had fun on site site. New cat, who dis? :clown:",2026-02-26T20:44:12.000Z
Anonymous,,,,,oops I sent it 3 times,2026-02-17T22:13:21.000Z
Saintwupid,,Discord and Line,Thailand,through your discord,kindest person in doghouse :3,2026-02-17T22:12:52.000Z
~hedy,https://home.hedy.dev/,,,the meta ring :),hello. I love the design of your website and oh my god the cat pics sections is sooo cute and creative~ I love it!,2025-12-27T06:26:27.000Z
fr0st,https://fr0st.xyz/,,,https://webring.bucketfish.me/,"*hey webring neighbor :P* **just wanted to say your site is really cool! ;)**",2025-12-24T16:22:09.000Z
G,,,,,"bing bong, tuesday we free :3",2025-12-21T07:22:54.000Z
